date,value,element,unit,sensor,method,treat,lat,lon,crop,season,source,M_ID,meas_ID,type,sub_type,units,year,doy,dap
02/13/2013,5.000487726,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,44,121
02/14/2013,5.371586129,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,45,122
02/15/2013,4.937963451,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,46,123
02/16/2013,5.274422808,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,47,124
02/17/2013,3.075138819,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,48,125
02/18/2013,4.612162287,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,49,126
02/19/2013,5.003024484,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,50,127
02/20/2013,4.210567246,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,51,128
02/21/2013,2.411477808,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,52,129
02/22/2013,3.325963258,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,53,130
02/23/2013,2.090391806,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,54,131
02/24/2013,3.984392782,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,55,132
02/25/2013,2.651276215,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,56,133
02/26/2013,2.261095757,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,57,134
02/27/2013,3.098357991,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,58,135
