date,value,element,unit,sensor,method,treat,lat,lon,crop,season,source
4/19/2014,3.768333119,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/1/2014,2.439322441,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/3/2014,2.407997793,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/11/2014,2.879758336,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/13/2014,3.030937254,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/16/2014,4.972129222,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
5/18/2014,1.332211286,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 1,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
8/7/2014,0.016380125,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
8/10/2014,0.45459565,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
8/21/2014,0.205370495,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
9/6/2014,1.444043245,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
9/11/2014,1.265360234,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
9/14/2014,0.824532417,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
10/5/2014,2.091060647,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
10/9/2014,1.281847003,et,mm/day,Diviner 2000,soil water balance,With Straw,-22.698605,-47.642742,Sugarcane,Cana-Soca 2,https://drive.google.com/file/d/1xmLH4StBOeI9QSuXJfzu3LesCNFgpaFx/view?usp=sharing
