M_ID,value,meas_ID,type,sub_type,units,date,year,doy,dap
3,1.906609469,aerial_dw,avg,NA,ton_ha,12/27/2013,2013,361,72
3,4.936794872,aerial_dw,avg,NA,ton_ha,01/15/2014,2014,15,91
3,12.45792263,aerial_dw,avg,NA,ton_ha,02/10/2014,2014,41,117
3,15.10898019,aerial_dw,avg,NA,ton_ha,03/11/2014,2014,70,146
3,22.8271125,aerial_dw,avg,NA,ton_ha,04/05/2014,2014,95,171
3,20.28278031,aerial_dw,avg,NA,ton_ha,05/10/2014,2014,130,206
3,26.1472881,aerial_dw,avg,NA,ton_ha,05/31/2014,2014,151,227
3,31.80377571,aerial_dw,avg,NA,ton_ha,07/01/2014,2014,182,258
4,1.865722357,aerial_dw,avg,NA,ton_ha,12/27/2013,2013,361,72
4,4.380394042,aerial_dw,avg,NA,ton_ha,01/15/2014,2014,15,91
4,9.490119744,aerial_dw,avg,NA,ton_ha,02/10/2014,2014,41,117
4,8.553868836,aerial_dw,avg,NA,ton_ha,03/11/2014,2014,70,146
4,18.32759061,aerial_dw,avg,NA,ton_ha,04/05/2014,2014,95,171
4,20.96247619,aerial_dw,avg,NA,ton_ha,05/10/2014,2014,130,206
4,26.0117,aerial_dw,avg,NA,ton_ha,05/31/2014,2014,151,227
4,29.72707505,aerial_dw,avg,NA,ton_ha,07/01/2014,2014,182,258
6,0.485992424,aerial_dw,avg,NA,ton_ha,10/29/2014,2014,302,106
6,3.588294513,aerial_dw,avg,NA,ton_ha,12/11/2014,2014,345,149
6,11.45054883,aerial_dw,avg,NA,ton_ha,01/13/2015,2015,13,182
6,24.62644674,aerial_dw,avg,NA,ton_ha,02/09/2015,2015,40,209
6,34.9251302,aerial_dw,avg,NA,ton_ha,03/16/2015,2015,75,244
6,27.24486764,aerial_dw,avg,NA,ton_ha,04/16/2015,2015,106,275
6,36.94207448,aerial_dw,avg,NA,ton_ha,05/14/2015,2015,134,303
5,0.358555377,aerial_dw,avg,NA,ton_ha,10/29/2014,2014,302,106
5,4.242616017,aerial_dw,avg,NA,ton_ha,12/11/2014,2014,345,149
