Date,year,doy,dap,value,depth_id,depth,treat,M_ID,meas_ID,type,sub_type,units
08/21/2014,2014,233,37,18.85572917,TS1,1,CP,5,stemp,msr,NA,°C
08/22/2014,2014,234,38,19.14770833,TS1,1,CP,5,stemp,msr,NA,°C
08/23/2014,2014,235,39,19.5240625,TS1,1,CP,5,stemp,msr,NA,°C
08/24/2014,2014,236,40,19.35583333,TS1,1,CP,5,stemp,msr,NA,°C
08/25/2014,2014,237,41,19.44979167,TS1,1,CP,5,stemp,msr,NA,°C
08/26/2014,2014,238,42,20.52166667,TS1,1,CP,5,stemp,msr,NA,°C
08/27/2014,2014,239,43,20.67927083,TS1,1,CP,5,stemp,msr,NA,°C
08/28/2014,2014,240,44,19.80583333,TS1,1,CP,5,stemp,msr,NA,°C
08/29/2014,2014,241,45,19.30666667,TS1,1,CP,5,stemp,msr,NA,°C
08/30/2014,2014,242,46,19.655,TS1,1,CP,5,stemp,msr,NA,°C
08/31/2014,2014,243,47,20.09375,TS1,1,CP,5,stemp,msr,NA,°C
09/01/2014,2014,244,48,19.57833333,TS1,1,CP,5,stemp,msr,NA,°C
09/03/2014,2014,246,50,21.64636364,TS1,1,CP,5,stemp,msr,NA,°C
09/04/2014,2014,247,51,19.52958333,TS1,1,CP,5,stemp,msr,NA,°C
09/05/2014,2014,248,52,18.86375,TS1,1,CP,5,stemp,msr,NA,°C
09/06/2014,2014,249,53,19.2903125,TS1,1,CP,5,stemp,msr,NA,°C
09/07/2014,2014,250,54,19.72458333,TS1,1,CP,5,stemp,msr,NA,°C
09/08/2014,2014,251,55,21.00260417,TS1,1,CP,5,stemp,msr,NA,°C
09/09/2014,2014,252,56,20.83416667,TS1,1,CP,5,stemp,msr,NA,°C
09/10/2014,2014,253,57,21.04427083,TS1,1,CP,5,stemp,msr,NA,°C
09/11/2014,2014,254,58,21.47125,TS1,1,CP,5,stemp,msr,NA,°C
09/12/2014,2014,255,59,21.84364583,TS1,1,CP,5,stemp,msr,NA,°C
09/13/2014,2014,256,60,21.6128125,TS1,1,CP,5,stemp,msr,NA,°C
09/14/2014,2014,257,61,21.63791667,TS1,1,CP,5,stemp,msr,NA,°C
09/15/2014,2014,258,62,21.70427083,TS1,1,CP,5,stemp,msr,NA,°C
09/16/2014,2014,259,63,22.30708333,TS1,1,CP,5,stemp,msr,NA,°C
09/17/2014,2014,260,64,22.17104167,TS1,1,CP,5,stemp,msr,NA,°C
09/18/2014,2014,261,65,22.23864583,TS1,1,CP,5,stemp,msr,NA,°C
09/19/2014,2014,262,66,22.18322917,TS1,1,CP,5,stemp,msr,NA,°C
09/20/2014,2014,263,67,21.91666667,TS1,1,CP,5,stemp,msr,NA,°C
09/21/2014,2014,264,68,21.7996875,TS1,1,CP,5,stemp,msr,NA,°C
09/22/2014,2014,265,69,20.57125,TS1,1,CP,5,stemp,msr,NA,°C
09/23/2014,2014,266,70,20.66427083,TS1,1,CP,5,stemp,msr,NA,°C
09/24/2014,2014,267,71,21.27958333,TS1,1,CP,5,stemp,msr,NA,°C
09/25/2014,2014,268,72,21.88020833,TS1,1,CP,5,stemp,msr,NA,°C
09/26/2014,2014,269,73,22.0421875,TS1,1,CP,5,stemp,msr,NA,°C
09/27/2014,2014,270,74,21.898125,TS1,1,CP,5,stemp,msr,NA,°C
09/28/2014,2014,271,75,22.42354167,TS1,1,CP,5,stemp,msr,NA,°C
09/29/2014,2014,272,76,23.1615625,TS1,1,CP,5,stemp,msr,NA,°C
09/30/2014,2014,273,77,23.27885417,TS1,1,CP,5,stemp,msr,NA,°C
10/01/2014,2014,274,78,23.265,TS1,1,CP,5,stemp,msr,NA,°C
10/02/2014,2014,275,79,21.72677083,TS1,1,CP,5,stemp,msr,NA,°C
10/03/2014,2014,276,80,19.82666667,TS1,1,CP,5,stemp,msr,NA,°C
10/04/2014,2014,277,81,19.3240625,TS1,1,CP,5,stemp,msr,NA,°C
10/05/2014,2014,278,82,19.5815625,TS1,1,CP,5,stemp,msr,NA,°C
10/06/2014,2014,279,83,20.1415625,TS1,1,CP,5,stemp,msr,NA,°C
10/07/2014,2014,280,84,20.49010417,TS1,1,CP,5,stemp,msr,NA,°C
10/08/2014,2014,281,85,20.86549296,TS1,1,CP,5,stemp,msr,NA,°C
10/10/2014,2014,283,87,23.92204082,TS1,1,CP,5,stemp,msr,NA,°C
10/11/2014,2014,284,88,23.266875,TS1,1,CP,5,stemp,msr,NA,°C
10/12/2014,2014,285,89,23.85895833,TS1,1,CP,5,stemp,msr,NA,°C
10/13/2014,2014,286,90,24.1478125,TS1,1,CP,5,stemp,msr,NA,°C
10/14/2014,2014,287,91,24.86625,TS1,1,CP,5,stemp,msr,NA,°C
10/15/2014,2014,288,92,25.4065625,TS1,1,CP,5,stemp,msr,NA,°C
10/16/2014,2014,289,93,25.32260417,TS1,1,CP,5,stemp,msr,NA,°C
10/17/2014,2014,290,94,25.9528125,TS1,1,CP,5,stemp,msr,NA,°C
10/18/2014,2014,291,95,25.82572917,TS1,1,CP,5,stemp,msr,NA,°C
10/19/2014,2014,292,96,25.91208333,TS1,1,CP,5,stemp,msr,NA,°C
10/20/2014,2014,293,97,24.70416667,TS1,1,CP,5,stemp,msr,NA,°C
10/21/2014,2014,294,98,23.29270833,TS1,1,CP,5,stemp,msr,NA,°C
10/22/2014,2014,295,99,23.33395833,TS1,1,CP,5,stemp,msr,NA,°C
10/23/2014,2014,296,100,24.0515625,TS1,1,CP,5,stemp,msr,NA,°C
10/24/2014,2014,297,101,25.05291667,TS1,1,CP,5,stemp,msr,NA,°C
10/25/2014,2014,298,102,24.5778125,TS1,1,CP,5,stemp,msr,NA,°C
10/26/2014,2014,299,103,24.75958333,TS1,1,CP,5,stemp,msr,NA,°C
10/27/2014,2014,300,104,24.5365625,TS1,1,CP,5,stemp,msr,NA,°C
10/28/2014,2014,301,105,23.68864583,TS1,1,CP,5,stemp,msr,NA,°C
10/29/2014,2014,302,106,23.96239583,TS1,1,CP,5,stemp,msr,NA,°C
10/30/2014,2014,303,107,24.32978723,TS1,1,CP,5,stemp,msr,NA,°C
10/31/2014,2014,304,108,25.08583333,TS1,1,CP,5,stemp,msr,NA,°C
11/01/2014,2014,305,109,25.61083333,TS1,1,CP,5,stemp,msr,NA,°C
11/02/2014,2014,306,110,25.55416667,TS1,1,CP,5,stemp,msr,NA,°C
11/03/2014,2014,307,111,25.37052083,TS1,1,CP,5,stemp,msr,NA,°C
11/04/2014,2014,308,112,24.88708333,TS1,1,CP,5,stemp,msr,NA,°C
11/05/2014,2014,309,113,24.61166667,TS1,1,CP,5,stemp,msr,NA,°C
11/06/2014,2014,310,114,25.10489583,TS1,1,CP,5,stemp,msr,NA,°C
11/07/2014,2014,311,115,25.2546875,TS1,1,CP,5,stemp,msr,NA,°C
11/08/2014,2014,312,116,24.58229167,TS1,1,CP,5,stemp,msr,NA,°C
11/09/2014,2014,313,117,24.96260417,TS1,1,CP,5,stemp,msr,NA,°C
11/10/2014,2014,314,118,24.62270833,TS1,1,CP,5,stemp,msr,NA,°C
11/11/2014,2014,315,119,24.28619565,TS1,1,CP,5,stemp,msr,NA,°C
11/12/2014,2014,316,120,23.91208333,TS1,1,CP,5,stemp,msr,NA,°C
11/13/2014,2014,317,121,24.48375,TS1,1,CP,5,stemp,msr,NA,°C
11/14/2014,2014,318,122,23.9965625,TS1,1,CP,5,stemp,msr,NA,°C
11/15/2014,2014,319,123,23.55416667,TS1,1,CP,5,stemp,msr,NA,°C
11/16/2014,2014,320,124,23.3525,TS1,1,CP,5,stemp,msr,NA,°C
11/17/2014,2014,321,125,23.18552083,TS1,1,CP,5,stemp,msr,NA,°C
11/18/2014,2014,322,126,23.30565217,TS1,1,CP,5,stemp,msr,NA,°C
11/19/2014,2014,323,127,24.1565625,TS1,1,CP,5,stemp,msr,NA,°C
11/20/2014,2014,324,128,23.88364583,TS1,1,CP,5,stemp,msr,NA,°C
11/21/2014,2014,325,129,24.47239583,TS1,1,CP,5,stemp,msr,NA,°C
11/22/2014,2014,326,130,24.3725,TS1,1,CP,5,stemp,msr,NA,°C
11/23/2014,2014,327,131,24.0509375,TS1,1,CP,5,stemp,msr,NA,°C
11/24/2014,2014,328,132,24.5171875,TS1,1,CP,5,stemp,msr,NA,°C
11/25/2014,2014,329,133,24.6371875,TS1,1,CP,5,stemp,msr,NA,°C
11/26/2014,2014,330,134,24.44260417,TS1,1,CP,5,stemp,msr,NA,°C
11/27/2014,2014,331,135,24.8515625,TS1,1,CP,5,stemp,msr,NA,°C
11/28/2014,2014,332,136,24.55041667,TS1,1,CP,5,stemp,msr,NA,°C
11/29/2014,2014,333,137,24.18052083,TS1,1,CP,5,stemp,msr,NA,°C
11/30/2014,2014,334,138,24.41375,TS1,1,CP,5,stemp,msr,NA,°C
12/01/2014,2014,335,139,24.68052083,TS1,1,CP,5,stemp,msr,NA,°C
12/02/2014,2014,336,140,24.55208333,TS1,1,CP,5,stemp,msr,NA,°C
12/03/2014,2014,337,141,24.529375,TS1,1,CP,5,stemp,msr,NA,°C
12/04/2014,2014,338,142,24.49125,TS1,1,CP,5,stemp,msr,NA,°C
12/05/2014,2014,339,143,23.58916667,TS1,1,CP,5,stemp,msr,NA,°C
12/06/2014,2014,340,144,23.719375,TS1,1,CP,5,stemp,msr,NA,°C
12/07/2014,2014,341,145,24.31635417,TS1,1,CP,5,stemp,msr,NA,°C
12/08/2014,2014,342,146,24.56010417,TS1,1,CP,5,stemp,msr,NA,°C
12/09/2014,2014,343,147,24.48104167,TS1,1,CP,5,stemp,msr,NA,°C
12/10/2014,2014,344,148,24.07381579,TS1,1,CP,5,stemp,msr,NA,°C
12/11/2014,2014,345,149,24.34979167,TS1,1,CP,5,stemp,msr,NA,°C
12/12/2014,2014,346,150,24.738125,TS1,1,CP,5,stemp,msr,NA,°C
12/13/2014,2014,347,151,23.76666667,TS1,1,CP,5,stemp,msr,NA,°C
12/14/2014,2014,348,152,24.05791667,TS1,1,CP,5,stemp,msr,NA,°C
12/15/2014,2014,349,153,23.76385417,TS1,1,CP,5,stemp,msr,NA,°C
12/16/2014,2014,350,154,23.58135417,TS1,1,CP,5,stemp,msr,NA,°C
12/17/2014,2014,351,155,24.11822917,TS1,1,CP,5,stemp,msr,NA,°C
12/18/2014,2014,352,156,24.91895833,TS1,1,CP,5,stemp,msr,NA,°C
12/19/2014,2014,353,157,25.3628125,TS1,1,CP,5,stemp,msr,NA,°C
12/20/2014,2014,354,158,24.7328125,TS1,1,CP,5,stemp,msr,NA,°C
