find,rep,justify,width,type,digits,nsmall
<prj.nm>,SEQ_F1_S1,l,50,c,0,0
<site.nm>,Aparecida do Taboado - MS,l,50,c,0,0
<sim.det>,Automaticaly created by R-Script,l,50,c,0,0
<cv.id>,SC0001,l,6,c,0,0
<cv.nm>,RB867515,l,20,c,0,0
<amax>,67.8,r,7,r,7,1
<eff>,0.33,r,7,r,7,1
<phtmax>,282.9,r,7,r,7,1
<parmax>,56.2,r,7,r,7,1
<ccmp>,80,r,7,r,7,1
<ccmax>,1.09,r,7,r,7,1
<cceff>,0.007,r,7,r,7,1
<rue>,2.6,r,7,r,7,1
<tb>,12,r,7,r,7,1
<tb0pho>,12,r,7,r,7,1
<tb1pho>,16,r,7,r,7,1
<tb2pho>,32,r,7,r,7,1
<tbfpho>,40,r,7,r,7,1
<tbper>,16,r,7,r,7,1
<tbMax_per>,35,r,7,r,7,1
<chustk>,650,r,7,r,7,1
<chupeak>,1800,r,7,r,7,1
<chudec>,1290,r,7,r,7,1
<chumat>,4400,r,7,r,7,1
<popmat>,9,r,7,r,7,1
<poppeak>,17,r,7,r,7,1
<ltthreshold>,0.18,r,7,r,7,1
<tillochron>,60,r,7,r,7,1
<tillerdeadrate>,0.1,r,7,r,7,1
<nsenesleaf_effect>,3,r,7,r,7,1
<fdeadlf>,0,r,7,r,7,1
<phyloc>,115,r,7,r,7,1
<maxgl>,10,r,7,r,7,1
<sla>,160,r,7,r,7,1
<rdm>,120,r,7,r,7,1
<srlMax>,22,r,7,r,7,1
<srlMin>,16,r,7,r,7,1
<rootdrate>,0.048,r,7,r,7,1
<shootgrowthrate>,0.05,r,7,r,7,1
<mxrtw>,160,r,7,r,7,1
<rssshape>,4,r,7,r,7,1
<rtdvp_time>,2000,r,7,r,7,1
<rootleftfrac>,0.03,r,7,r,7,1
<kdif>,0.55,r,7,r,7,1
<sgpf>,0.93,r,7,r,7,1
<midper>,862,r,7,r,7,1
<dpercoeff>,6.5,r,7,r,7,1
<sucmax>,0.65,r,7,r,7,1
<max_lignin_fac>,1.9,r,7,r,7,1
<pot_sug_res_fac>,11.179,r,7,r,7,1
<srl>,12,r,7,r,7,1
<mla>,780,r,7,r,7,1
<q10>,1.68,r,7,r,7,1
<kc_min>,0.75,r,7,r,7,1
<eoratio>,1.15,r,7,r,7,1
<rwuep1>,0.3,r,7,r,7,1
<rwuep2>,0.9,r,7,r,7,1
<t_max_ws_pho>,0,r,7,r,7,1
<t_mid_ws_pho>,0.1,r,7,r,7,1
<t_min_ws_pho>,0.4,r,7,r,7,1
<t_max_ws_exp>,0,r,7,r,7,1
<t_mid_ws_exp>,0.4,r,7,r,7,1
<t_min_ws_exp>,1,r,7,r,7,1
