date_irrig,irrig_dp,irrig_wc,irrig_type
16_oct_2012,24,1000,0
02_nov_2012,3.2,1000,0
03_nov_2012,4,1000,0
06_nov_2012,8,1000,0
08_nov_2012,9.6,1000,0
12_dec_2012,9.6,1000,0
22_dec_2012,4.8,1000,0
27_dec_2012,16,1000,0
20_feb_2013,16.8,1000,0
07_mar_2013,20,1000,0
09_mar_2013,19.2,1000,0
27_apr_2013,20,1000,0
28_apr_2013,20,1000,0
10_may_2013,9.6,1000,0
13_may_2013,17.6,1000,0
24_may_2013,15.2,1000,0
06_jul_2013,24,1000,0
04_aug_2013,32,1000,0
19_aug_2013,32,1000,0
31_aug_2013,32,1000,0
08_sep_2013,32,1000,0
10_oct_2013,24,1000,0
25_nov_2013,16,1000,0
01_dec_2013,8,1000,0
04_dec_2013,8,1000,0
13_dec_2013,16,1000,0
17_dec_2013,11.2,1000,0
11_feb_2014,3.2,1000,0
20_feb_2014,4,1000,0
29_mar_2014,16,1000,0
16_jun_2014,32,1000,0
08_oct_2014,24,1000,0
24_feb_2015,24,1000,0
04_mar_2015,8,1000,0
20_apr_2015,32,1000,0
20_may_2015,32,1000,0
06_jul_2015,12,1000,0
12_aug_2015,24,1000,0
