LAT,LON,SOILTYPE,Soil_ID,TYPE,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF,SLNI,SLHW,SLHB,SCEC
1.267,-69.617,Rhodic_Ferralsol,*WI_FRBR001,INP1,0.04,0.177,0.47,1,10.74,1.28,1.43,6,28,-99,0.11,4.9,4,5.8
1.417,-68.617,Dystric_Fluvisol,*WI_FLBR002,INP1,0.166,0.283,0.435,0.82,1.2,1.42,0.7,27,73,-99,0.09,3.9,3.5,6.9
0.217,-50.917,Eutric_Gleysol,*WI_GLBR006,INP1,0.148,0.337,0.528,1,1.31,1.12,3.49,25,73,-99,0.37,4.6,3.5,16.1
1.783,-61.183,Dystric_Gleysol,*WI_GLBR010,INP1,0.126,0.246,0.389,0.74,1.54,1.53,0.5,15,17,25,0.04,4.6,3.8,2.6
3.583,-63.783,Dystric_Regosol,*WI_RGBR011,INP1,0.171,0.35,0.518,0.82,0.97,1.18,1.61,15,51,-99,0.15,3.8,3.1,12
2.217,-62.917,Ferric_Acrisol,*WI_ACBR015,INP1,0.2325,0.3905,0.518,0.89,0.465,1.205,1.51,46,39.5,24.5,0.195,4.1,3.75,6.35
4.633,-60.667,Dystric_Leptosol,*WI_LPBR018,INP1,0.26,0.412,0.491,0.82,0.16,1.28,1.43,54,44,-99,0.16,4.9,4.4,7.7
-8.367,-66.133,Plinthic_Acrisol,*WI_ACBR020,INP1,0.19,0.3255,0.511,0.85,1.355,1.235,0.76,33,49,2,0.085,3.7,3.5,7.75
-9.8,-68,Ferric_Acrisol,*WI_ACBR021,INP1,0.136,0.304,0.502,1,1.755,1.235,1.6,27.5,63.5,-99,0.23,5,4.4,14.85
-8.95,-67.217,Plinthic_Acrisol,*WI_ACBR022,INP1,0.1665,0.3435,0.524,1,1.06,1.17,2.775,32.5,63.5,1,0.33,3.6,3.25,17.65
-9.65,-68.2,Dystric_Cambisol,*WI_CMBR023,INP1,0.04,0.177,0.418,0.82,7.4,1.43,1.37,19,10,-99,0.14,3.5,3,11
