fdr10cm,fdr20cm,fdr30cm,fdr60cm,year,doy,date,treat
0.330884556,0.328081131,0.363055342,0.403448268,2014,15,1/15/2014,WithoutStraw
0.309440213,0.31563703,0.357111038,0.401401827,2014,20,1/20/2014,WithoutStraw
0.257140471,0.266298672,0.307740661,0.368473652,2014,28,1/28/2014,WithoutStraw
0.244488288,0.253195228,0.291725113,0.340177338,2014,39,2/8/2014,WithoutStraw
0.241226072,0.25136198,0.289667936,0.337654979,2014,40,2/9/2014,WithoutStraw
0.236345973,0.247553909,0.287301924,0.336353323,2014,42,2/11/2014,WithoutStraw
0.293233885,0.27393105,0.298639314,0.339003369,2014,48,2/17/2014,WithoutStraw
0.279319973,0.271662922,0.300195318,0.340802226,2014,53,2/22/2014,WithoutStraw
0.251417179,0.255836524,0.289792956,0.336811289,2014,58,2/27/2014,WithoutStraw
0.337403573,0.326649125,0.35958368,0.392733035,2014,72,3/13/2014,WithoutStraw
0.260654265,0.267176597,0.305142795,0.348382909,2014,87,3/28/2014,WithoutStraw
0.331326681,0.326385471,0.362291296,0.391170096,2014,93,4/3/2014,WithoutStraw
0.301169485,0.302544042,0.34091609,0.377869476,2014,97,4/7/2014,WithoutStraw
0.325410851,0.324704151,0.364662781,0.400935308,2014,99,4/9/2014,WithoutStraw
0.346318613,0.344265505,0.38356215,0.42095777,2014,100,4/10/2014,WithoutStraw
0.331919298,0.330043666,0.369004856,0.405051291,2014,101,4/11/2014,WithoutStraw
0.340145146,0.338811653,0.376497201,0.417213571,2014,106,4/16/2014,WithoutStraw
0.317063959,0.32062465,0.357855132,0.396192281,2014,111,4/21/2014,WithoutStraw
0.331710923,0.329519902,0.366184995,0.401144425,2014,113,4/23/2014,WithoutStraw
0.331922509,0.329329403,0.364869439,0.400286426,2014,115,4/25/2014,WithoutStraw
0.333552868,0.331530204,0.363175359,0.399267818,2014,118,4/28/2014,WithoutStraw
0.323709559,0.323336812,0.358034525,0.392729654,2014,120,4/30/2014,WithoutStraw
0.317883491,0.318455567,0.354145405,0.391314802,2014,121,5/1/2014,WithoutStraw
0.301703922,0.306059762,0.340503645,0.382786036,2014,125,5/5/2014,WithoutStraw
0.290162284,0.295683008,0.332934679,0.380899808,2014,127,5/7/2014,WithoutStraw
0.301522381,0.299445358,0.335097688,0.381538711,2014,128,5/8/2014,WithoutStraw
0.313418428,0.302513975,0.334572827,0.381681314,2014,129,5/9/2014,WithoutStraw
0.294458164,0.29409588,0.328151613,0.371632491,2014,132,5/12/2014,WithoutStraw
0.283381321,0.287740159,0.322804759,0.370002154,2014,134,5/14/2014,WithoutStraw
0.283121209,0.287011993,0.320107283,0.366608236,2014,135,5/15/2014,WithoutStraw
0.278232497,0.283446624,0.316783117,0.365034816,2014,136,5/16/2014,WithoutStraw
0.273436339,0.276505179,0.311942056,0.360763913,2014,139,5/19/2014,WithoutStraw
0.258615289,0.269936996,0.305325937,0.350459558,2014,217,8/5/2014,WithoutStraw
0.251854804,0.269207716,0.305204474,0.349925704,2014,220,8/8/2014,WithoutStraw
0.244170975,0.264606966,0.303613261,0.349430152,2014,223,8/11/2014,WithoutStraw
0.24286257,0.260504385,0.300673132,0.348226132,2014,227,8/15/2014,WithoutStraw
0.24462981,0.261627563,0.302138202,0.349868235,2014,230,8/18/2014,WithoutStraw
0.242104271,0.261019592,0.301773102,0.348513507,2014,231,8/19/2014,WithoutStraw
0.237273208,0.258933972,0.300316337,0.349409689,2014,234,8/22/2014,WithoutStraw
0.226659512,0.251712266,0.2936911,0.346438549,2014,241,8/29/2014,WithoutStraw
0.24721082,0.249986528,0.295949797,0.347409265,2014,244,9/1/2014,WithoutStraw
0.320944472,0.301070461,0.313467861,0.348615034,2014,246,9/3/2014,WithoutStraw
0.284125719,0.289776247,0.316516513,0.349378193,2014,252,9/9/2014,WithoutStraw
0.266849715,0.284310296,0.315497092,0.347225341,2014,255,9/12/2014,WithoutStraw
0.253060427,0.276263663,0.309937068,0.346525916,2014,258,9/15/2014,WithoutStraw
0.238260884,0.267199736,0.304171392,0.345757765,2014,262,9/19/2014,WithoutStraw
0.264941648,0.266187427,0.301539684,0.345726337,2014,265,9/22/2014,WithoutStraw
0.326086465,0.317824714,0.328244672,0.348613937,2014,269,9/26/2014,WithoutStraw
0.307667213,0.313494034,0.350355919,0.379200587,2014,275,10/2/2014,WithoutStraw
0.286083841,0.30145218,0.337016829,0.372529609,2014,280,10/7/2014,WithoutStraw
0.273524664,0.293553976,0.333516746,0.366006823,2014,283,10/10/2014,WithoutStraw
0.244639057,0.273039597,0.310087359,0.348946615,2014,288,10/15/2014,WithoutStraw
0.239350576,0.264195531,0.305694411,0.348659091,2014,290,10/17/2014,WithoutStraw
0.229443831,0.249680309,0.293733927,0.340884907,2014,294,10/21/2014,WithoutStraw
0.230682973,0.251567009,0.295370063,0.336938485,2014,297,10/24/2014,WithoutStraw
0.234700235,0.248065118,0.285921669,0.329593185,2014,304,10/31/2014,WithoutStraw
0.324423947,0.320006891,0.349575686,0.364403829,2014,307,11/3/2014,WithoutStraw
0.33692839,0.337405905,0.369996251,0.400603404,2014,309,11/5/2014,WithoutStraw
0.318834146,0.322579506,0.355937165,0.38936644,2014,311,11/7/2014,WithoutStraw
0.320413119,0.317546684,0.348951026,0.380436883,2014,317,11/13/2014,WithoutStraw
0.320997139,0.317459757,0.348907388,0.38116133,2014,318,11/14/2014,WithoutStraw
0.2993044,0.302028752,0.335726198,0.368785638,2014,321,11/17/2014,WithoutStraw
0.280155951,0.28574289,0.322813174,0.358542969,2014,323,11/19/2014,WithoutStraw
0.276992437,0.288034746,0.326626186,0.360524913,2014,324,11/20/2014,WithoutStraw
0.257791305,0.267797334,0.306242307,0.349897772,2014,328,11/24/2014,WithoutStraw
0.338194913,0.335111313,0.366903961,0.399229746,2014,331,11/27/2014,WithoutStraw
0.330527076,0.336288493,0.364731909,0.398183671,2014,332,11/28/2014,WithoutStraw
0.30369472,0.311206899,0.34365229,0.383112743,2014,335,12/1/2014,WithoutStraw
0.31143895,0.31423357,0.343416852,0.381787705,2014,337,12/3/2014,WithoutStraw
0.289076194,0.300036766,0.33541618,0.374581486,2014,339,12/5/2014,WithoutStraw
0.27297543,0.283025869,0.31669269,0.364148046,2014,342,12/8/2014,WithoutStraw
0.328210711,0.324420455,0.34824063,0.386063024,2014,345,12/11/2014,WithoutStraw
0.33609366,0.332444621,0.366361353,0.403773592,2014,348,12/14/2014,WithoutStraw
0.327606087,0.326536546,0.359298152,0.395988613,2014,356,12/22/2014,WithoutStraw
0.298993595,0.306381596,0.339912807,0.389241457,2014,362,12/28/2014,WithoutStraw
0.343728859,0.337029714,0.371709711,0.413436955,2015,6,1/6/2015,WithoutStraw
0.324119702,0.32265502,0.353755285,0.398046437,2015,8,1/8/2015,WithoutStraw
0.284678494,0.297420089,0.332647173,0.387527513,2015,12,1/12/2015,WithoutStraw
0.257219285,0.275420234,0.30793625,0.369643361,2015,16,1/16/2015,WithoutStraw
0.242396061,0.264058485,0.295703876,0.353382125,2015,19,1/19/2015,WithoutStraw
0.287408648,0.281990603,0.307934801,0.352734839,2015,21,1/21/2015,WithoutStraw
0.327530757,0.326340868,0.355839967,0.396583331,2015,27,1/27/2015,WithoutStraw
0.33742241,0.333512242,0.359612238,0.39492423,2015,29,1/29/2015,WithoutStraw
0.319606426,0.313760331,0.33515937,0.37678429,2015,34,2/3/2015,WithoutStraw
0.336836498,0.333260187,0.363126165,0.401192449,2015,37,2/6/2015,WithoutStraw
0.32509602,0.322209899,0.349749188,0.392253107,2015,40,2/9/2015,WithoutStraw
