# Measured: Yield (above ground: shoots (kg/ha dry matter)),,
# Location: Ruurlo veld 16,,
# Reference: ,,
"Date","property","value","cutnr"
1980-05-06,"CRYD",3522,1
1980-05-28,"CRYD",2975,2
1980-06-24,"CRYD",1991,3
1980-07-24,"CRYD",3585,4
1980-08-19,"CRYD",2463,5
1980-09-17,"CRYD",1969,6
1980-10-23,"CRYD",1926,7
1981-04-14,"CRYD",699,1
1981-05-19,"CRYD",3057,2
1981-06-16,"CRYD",3581,3
1981-07-14,"CRYD",1648,4
1981-08-05,"CRYD",2192,5
1981-09-08,"CRYD",1532,6
1981-10-28,"CRYD",2024,7
1982-05-11,"CRYD",815,1
1982-06-01,"CRYD",3728,2
1982-07-06,"CRYD",2361,3
1982-08-10,"CRYD",1642,4
1982-10-13,"CRYD",2219,5
1983-05-19,"CRYD",3637,1
1983-06-15,"CRYD",3079,2
1983-07-13,"CRYD",3651,3
1983-08-17,"CRYD",800,4
1983-10-28,"CRYD",1661,5
1984-05-15,"CRYD",3854,1
1984-06-07,"CRYD",2727,2
1984-07-05,"CRYD",2793,3
1984-08-02,"CRYD",2767,4
1984-09-11,"CRYD",849,5
1984-11-07,"CRYD",1842,6
1980-05-06,"yrCRYD",3522,1
1980-05-28,"yrCRYD",6497,2
1980-06-24,"yrCRYD",8488,3
1980-07-24,"yrCRYD",12073,4
1980-08-19,"yrCRYD",14536,5
1980-09-17,"yrCRYD",16505,6
1980-10-23,"yrCRYD",18431,7
1981-04-14,"yrCRYD",699,1
1981-05-19,"yrCRYD",3756,2
1981-06-16,"yrCRYD",7337,3
1981-07-14,"yrCRYD",8985,4
1981-08-05,"yrCRYD",11177,5
1981-09-08,"yrCRYD",12709,6
1981-10-28,"yrCRYD",14733,7
1982-05-11,"yrCRYD",815,1
1982-06-01,"yrCRYD",4543,2
1982-07-06,"yrCRYD",6904,3
1982-08-10,"yrCRYD",8546,4
1982-10-13,"yrCRYD",10765,5
1983-05-19,"yrCRYD",3637,1
1983-06-15,"yrCRYD",6716,2
1983-07-13,"yrCRYD",10367,3
1983-08-17,"yrCRYD",11167,4
1983-10-28,"yrCRYD",12828,5
1984-05-15,"yrCRYD",3854,1
1984-06-07,"yrCRYD",6581,2
1984-07-05,"yrCRYD",9374,3
1984-08-02,"yrCRYD",12141,4
1984-09-11,"yrCRYD",12990,5
1984-11-07,"yrCRYD",14832,6

