# Measured: Groundwaterlevel(cm_below_SoilSurface),
# Location: Andelst
# "Reference: Smelt et al, ",
"Date","property","value"
1998-01-06,"SumDRDCD1",0.8196
1998-01-07,"SumDRDCD1",2.4895
1998-01-08,"SumDRDCD1",1.831
1998-01-09,"SumDRDCD1",0.397
1998-01-10,"SumDRDCD1",0.1149
1998-03-06,"SumDRDCD1",6.99
1998-03-07,"SumDRDCD1",20.4119
1998-03-08,"SumDRDCD1",5.6399
1998-03-09,"SumDRDCD1",0.2081
1998-09-15,"SumDRDCD1",4.6542
1998-09-16,"SumDRDCD1",1.8035
1998-09-17,"SumDRDCD1",2.8788
1998-09-18,"SumDRDCD1",0.3244
1998-10-08,"SumDRDCD1",1.4518
1998-10-09,"SumDRDCD1",0.0139
1998-10-10,"SumDRDCD1",1.1411
1998-10-11,"SumDRDCD1",0.2853
1998-10-12,"SumDRDCD1",1.054
1998-10-13,"SumDRDCD1",0.3166
1998-10-14,"SumDRDCD1",5.0197
1998-10-15,"SumDRDCD1",2.1972
1998-10-16,"SumDRDCD1",0.0805
1998-10-23,"SumDRDCD1",0.9463
1998-10-24,"SumDRDCD1",3.137
1998-10-25,"SumDRDCD1",7.3453
1998-10-26,"SumDRDCD1",0.6354
1998-10-27,"SumDRDCD1",4.21
1998-10-28,"SumDRDCD1",22.4354
1998-10-29,"SumDRDCD1",21.7177
1998-10-30,"SumDRDCD1",15.6323
1998-10-31,"SumDRDCD1",10.6218
1998-11-01,"SumDRDCD1",24.5126
1998-11-02,"SumDRDCD1",20.2788
1998-11-03,"SumDRDCD1",13.5331
1998-11-04,"SumDRDCD1",7.4334
1998-11-05,"SumDRDCD1",5.1568
1998-11-06,"SumDRDCD1",7.227
1998-11-07,"SumDRDCD1",4.2248
1998-11-08,"SumDRDCD1",6.5051
1998-11-09,"SumDRDCD1",15.2028
1998-11-10,"SumDRDCD1",8.7533
1998-11-11,"SumDRDCD1",4.6948
1998-11-12,"SumDRDCD1",2.769
1998-11-13,"SumDRDCD1",1.662
1998-11-14,"SumDRDCD1",5.7331
1998-11-15,"SumDRDCD1",3.5292
1998-11-16,"SumDRDCD1",2.6262
1998-11-17,"SumDRDCD1",1.2366
1998-11-18,"SumDRDCD1",0.9594
1998-11-19,"SumDRDCD1",0.6047
1998-11-20,"SumDRDCD1",0.2814
1998-11-26,"SumDRDCD1",0.0085
1998-11-27,"SumDRDCD1",0.3809
1998-12-13,"SumDRDCD1",2.0477
1998-12-14,"SumDRDCD1",0.0032
1998-12-15,"SumDRDCD1",0.0172
1998-12-16,"SumDRDCD1",3.1255
1998-12-17,"SumDRDCD1",0.3782
