* Project:       Zegveld
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 4.0.1
* Generated at:  2022-03-08 14:04:18
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.10000,   0.10525E+01,   0.24754E+03
   1, 0.13110,   0.11824E+01,   0.27825E+03
   1, 0.16220,   0.13124E+01,   0.30872E+03
   1, 0.19330,   0.14423E+01,   0.33885E+03
   1, 0.22440,   0.15723E+01,   0.36857E+03
   1, 0.25550,   0.17023E+01,   0.39785E+03
   1, 0.28660,   0.18322E+01,   0.42666E+03
   1, 0.31770,   0.19622E+01,   0.45501E+03
   1, 0.34880,   0.20921E+01,   0.48290E+03
   1, 0.37990,   0.22221E+01,   0.51038E+03
   1, 0.41100,   0.23521E+01,   0.53749E+03
   1, 0.44210,   0.24820E+01,   0.56430E+03
   1, 0.47320,   0.26120E+01,   0.59086E+03
   1, 0.50430,   0.27419E+01,   0.61728E+03
   1, 0.53540,   0.28719E+01,   0.64363E+03
   1, 0.56650,   0.30019E+01,   0.67003E+03
   1, 0.59760,   0.31318E+01,   0.69657E+03
   1, 0.62870,   0.32618E+01,   0.72339E+03
   1, 0.65980,   0.33917E+01,   0.75062E+03
   1, 0.69090,   0.35217E+01,   0.77841E+03
   1, 0.72200,   0.36517E+01,   0.80694E+03
   2, 0.00000,   0.38803E+00,   0.52845E+02
   2, 0.04150,   0.56145E+00,   0.10013E+03
   2, 0.08300,   0.73487E+00,   0.14145E+03
   2, 0.12450,   0.90829E+00,   0.16813E+03
   2, 0.16600,   0.10817E+01,   0.19581E+03
   2, 0.20750,   0.12551E+01,   0.22424E+03
   2, 0.24900,   0.14285E+01,   0.25320E+03
   2, 0.29050,   0.16020E+01,   0.28251E+03
   2, 0.33200,   0.17754E+01,   0.31204E+03
   2, 0.37350,   0.19488E+01,   0.34168E+03
   2, 0.41500,   0.21222E+01,   0.37139E+03
   2, 0.45650,   0.22956E+01,   0.40113E+03
   2, 0.49800,   0.24691E+01,   0.43092E+03
   2, 0.53950,   0.26425E+01,   0.46079E+03
   2, 0.58100,   0.28159E+01,   0.49080E+03
   2, 0.62250,   0.29893E+01,   0.52104E+03
   2, 0.66400,   0.31627E+01,   0.55163E+03
   2, 0.70550,   0.33362E+01,   0.58271E+03
   2, 0.74700,   0.35096E+01,   0.61445E+03
   2, 0.78850,   0.36830E+01,   0.64706E+03
   2, 0.83000,   0.38564E+01,   0.68077E+03
   3, 0.00000,   0.23091E+00,   0.40163E+02
   3, 0.04510,   0.41937E+00,   0.61664E+02
   3, 0.09020,   0.60784E+00,   0.81154E+02
   3, 0.13530,   0.79630E+00,   0.99831E+02
   3, 0.18040,   0.98476E+00,   0.12024E+03
   3, 0.22550,   0.11732E+01,   0.14212E+03
   3, 0.27060,   0.13617E+01,   0.16521E+03
   3, 0.31570,   0.15502E+01,   0.18929E+03
   3, 0.36080,   0.17386E+01,   0.21419E+03
   3, 0.40590,   0.19271E+01,   0.23974E+03
   3, 0.45100,   0.21155E+01,   0.26584E+03
   3, 0.49610,   0.23040E+01,   0.29240E+03
   3, 0.54120,   0.24925E+01,   0.31937E+03
   3, 0.58630,   0.26809E+01,   0.34675E+03
   3, 0.63140,   0.28694E+01,   0.37453E+03
   3, 0.67650,   0.30579E+01,   0.40277E+03
   3, 0.72160,   0.32463E+01,   0.43153E+03
   3, 0.76670,   0.34348E+01,   0.46092E+03
   3, 0.81180,   0.36232E+01,   0.49106E+03
   3, 0.85690,   0.38117E+01,   0.52212E+03
   3, 0.90200,   0.40002E+01,   0.55430E+03
   4, 0.00000,   0.24813E+00,   0.39095E+02
   4, 0.04500,   0.43617E+00,   0.44243E+02
   4, 0.09000,   0.62422E+00,   0.56688E+02
   4, 0.13500,   0.81227E+00,   0.71675E+02
   4, 0.18000,   0.10003E+01,   0.88550E+02
   4, 0.22500,   0.11884E+01,   0.10704E+03
   4, 0.27000,   0.13764E+01,   0.12689E+03
   4, 0.31500,   0.15644E+01,   0.14788E+03
   4, 0.36000,   0.17525E+01,   0.16982E+03
   4, 0.40500,   0.19405E+01,   0.19255E+03
   4, 0.45000,   0.21286E+01,   0.21593E+03
   4, 0.49500,   0.23166E+01,   0.23989E+03
   4, 0.54000,   0.25047E+01,   0.26434E+03
   4, 0.58500,   0.26927E+01,   0.28926E+03
   4, 0.63000,   0.28808E+01,   0.31464E+03
   4, 0.67500,   0.30688E+01,   0.34050E+03
   4, 0.72000,   0.32569E+01,   0.36689E+03
   4, 0.76500,   0.34449E+01,   0.39388E+03
   4, 0.81000,   0.36329E+01,   0.42157E+03
   4, 0.85500,   0.38210E+01,   0.45010E+03
   4, 0.90000,   0.40090E+01,   0.47964E+03
