* Project:       Zegveld
* File content:  soil physical parameters
* File name:     SoilPhysParam.csv
* Model version: Swap 4.0.1
* Generated at:  2022-03-08 14:04:18
layer,head(cm),theta(cm3.cm3),C(cm-1),RelSat(-),k(cm.d-1)
         1,  0.0000000E+00,  7.2200000E-01,  4.4721360E-11,  1.0000000E+00,  5.8000000E+00
         1, -1.0000000E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999999E+00
         1, -1.1000000E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.2100000E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.3310000E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.4641000E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.6105100E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.7715610E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999998E+00
         1, -1.9487171E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999997E+00
         1, -2.1435888E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999997E+00
         1, -2.3579477E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999997E+00
         1, -2.5937425E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999996E+00
         1, -2.8531167E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999996E+00
         1, -3.1384284E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999996E+00
         1, -3.4522712E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999995E+00
         1, -3.7974983E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999995E+00
         1, -4.1772482E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999994E+00
         1, -4.5949730E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999994E+00
         1, -5.0544703E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999993E+00
         1, -5.5599173E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999992E+00
         1, -6.1159090E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999991E+00
         1, -6.7274999E-07,  7.2200000E-01,  7.6695844E-04,  1.0000000E+00,  5.7999991E+00
