* Measured groundwaterlevel locationWG02,,,,,
* VanDitshuizen,,,,,
* Datum,,Groundwaterlevel(meter_below_SoilSurface),,,
Time,Date,Gwl,datum,gwl_NAP,mv_NAP
34083,1993-Apr-24,-0.54,24-Apr-93,11.61,12.15
34084,1993-Apr-25,-0.58,25-Apr-93,11.57,12.15
34085,1993-Apr-26,-0.62,26-Apr-93,11.53,12.15
34086,1993-Apr-27,-0.66,27-Apr-93,11.49,12.15
34087,1993-Apr-28,-0.68,28-Apr-93,11.47,12.15
34088,1993-Apr-29,-0.7,29-Apr-93,11.45,12.15
34089,1993-Apr-30,-0.71,30-Apr-93,11.44,12.15
34090,1993-May-01,-0.73,01-May-93,11.43,12.15
34091,1993-May-02,-0.74,02-May-93,11.41,12.15
34092,1993-May-03,-0.76,03-May-93,11.39,12.15
34093,1993-May-04,-0.78,04-May-93,11.37,12.15
34094,1993-May-05,-0.78,05-May-93,11.37,12.15
34095,1993-May-06,-0.78,06-May-93,11.37,12.15
34096,1993-May-07,-0.78,07-May-93,11.37,12.15
34097,1993-May-08,-0.79,08-May-93,11.36,12.15
34098,1993-May-09,-0.8,09-May-93,11.35,12.15
34099,1993-May-10,-0.8,10-May-93,11.36,12.15
34100,1993-May-11,-0.79,11-May-93,11.36,12.15
34101,1993-May-12,-0.8,12-May-93,11.35,12.15
34102,1993-May-13,-0.8,13-May-93,11.35,12.15
34103,1993-May-14,-0.81,14-May-93,11.34,12.15
34104,1993-May-15,-0.83,15-May-93,11.32,12.15
34105,1993-May-16,-0.85,16-May-93,11.3,12.15
34106,1993-May-17,-0.86,17-May-93,11.29,12.15
34107,1993-May-18,-0.87,18-May-93,11.28,12.15
34108,1993-May-19,-0.88,19-May-93,11.28,12.15
34109,1993-May-20,-0.82,20-May-93,11.33,12.15
34110,1993-May-21,-0.81,21-May-93,11.34,12.15
34111,1993-May-22,-0.82,22-May-93,11.34,12.15
34112,1993-May-23,-0.84,23-May-93,11.32,12.15
34113,1993-May-24,-0.85,24-May-93,11.31,12.15
34114,1993-May-25,-0.86,25-May-93,11.29,12.15
34115,1993-May-26,-0.87,26-May-93,11.28,12.15
34116,1993-May-27,-0.84,27-May-93,11.31,12.15
34117,1993-May-28,-0.8,28-May-93,11.35,12.15
34118,1993-May-29,-0.77,29-May-93,11.38,12.15
34119,1993-May-30,-0.77,30-May-93,11.38,12.15
34120,1993-May-31,-0.78,31-May-93,11.38,12.15
34121,1993-Jun-01,-0.8,01-Jun-93,11.36,12.15
34122,1993-Jun-02,-0.8,02-Jun-93,11.35,12.15
34123,1993-Jun-03,-0.79,03-Jun-93,11.36,12.15
34124,1993-Jun-04,-0.76,04-Jun-93,11.39,12.15
34125,1993-Jun-05,-0.77,05-Jun-93,11.38,12.15
34126,1993-Jun-06,-0.79,06-Jun-93,11.36,12.15
34127,1993-Jun-07,-0.81,07-Jun-93,11.34,12.15
34128,1993-Jun-08,-0.83,08-Jun-93,11.32,12.15
34129,1993-Jun-09,-0.85,09-Jun-93,11.3,12.15
34130,1993-Jun-10,-0.86,10-Jun-93,11.29,12.15
34131,1993-Jun-11,-0.88,11-Jun-93,11.27,12.15
34132,1993-Jun-12,-0.9,12-Jun-93,11.26,12.15
34133,1993-Jun-13,-0.91,13-Jun-93,11.24,12.15
34134,1993-Jun-14,-0.93,14-Jun-93,11.22,12.15
34135,1993-Jun-15,-0.94,15-Jun-93,11.21,12.15
34136,1993-Jun-16,-0.94,16-Jun-93,11.21,12.15
34137,1993-Jun-17,-0.89,17-Jun-93,11.26,12.15
34138,1993-Jun-18,-0.88,18-Jun-93,11.27,12.15
34139,1993-Jun-19,-0.88,19-Jun-93,11.27,12.15
34140,1993-Jun-20,-0.89,20-Jun-93,11.26,12.15
34141,1993-Jun-21,-0.91,21-Jun-93,11.24,12.15
34142,1993-Jun-22,-0.91,22-Jun-93,11.24,12.15
34143,1993-Jun-23,-0.93,23-Jun-93,11.23,12.15
34144,1993-Jun-24,-0.95,24-Jun-93,11.2,12.15
34145,1993-Jun-25,-0.96,25-Jun-93,11.19,12.15
34146,1993-Jun-26,-0.96,26-Jun-93,11.19,12.15
