* Project:       SEQ_F1_S2
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 4.0.1
* Generated at:  2022-01-03 17:15:32
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.04000,   0.15763E+01,   0.60099E+03
   1, 0.05700,   0.16473E+01,   0.85037E+03
   1, 0.07400,   0.17183E+01,   0.92269E+03
   1, 0.09100,   0.17894E+01,   0.98897E+03
   1, 0.10800,   0.18604E+01,   0.10498E+04
   1, 0.12500,   0.19315E+01,   0.11058E+04
   1, 0.14200,   0.20025E+01,   0.11575E+04
   1, 0.15900,   0.20735E+01,   0.12054E+04
   1, 0.17600,   0.21446E+01,   0.12499E+04
   1, 0.19300,   0.22156E+01,   0.12915E+04
   1, 0.21000,   0.22867E+01,   0.13305E+04
   1, 0.22700,   0.23577E+01,   0.13674E+04
   1, 0.24400,   0.24287E+01,   0.14025E+04
   1, 0.26100,   0.24998E+01,   0.14361E+04
   1, 0.27800,   0.25708E+01,   0.14686E+04
   1, 0.29500,   0.26418E+01,   0.15001E+04
   1, 0.31200,   0.27129E+01,   0.15310E+04
   1, 0.32900,   0.27839E+01,   0.15615E+04
   1, 0.34600,   0.28550E+01,   0.15920E+04
   1, 0.36300,   0.29260E+01,   0.16227E+04
   1, 0.38000,   0.29970E+01,   0.16538E+04
   2, 0.02100,   0.15445E+01,   0.28834E+03
   2, 0.03790,   0.16152E+01,   0.60465E+03
   2, 0.05480,   0.16858E+01,   0.91018E+03
   2, 0.07170,   0.17564E+01,   0.98820E+03
   2, 0.08860,   0.18270E+01,   0.10590E+04
   2, 0.10550,   0.18977E+01,   0.11235E+04
   2, 0.12240,   0.19683E+01,   0.11823E+04
   2, 0.13930,   0.20389E+01,   0.12363E+04
   2, 0.15620,   0.21095E+01,   0.12859E+04
   2, 0.17310,   0.21801E+01,   0.13318E+04
   2, 0.19000,   0.22508E+01,   0.13744E+04
   2, 0.20690,   0.23214E+01,   0.14144E+04
   2, 0.22380,   0.23920E+01,   0.14521E+04
   2, 0.24070,   0.24626E+01,   0.14878E+04
   2, 0.25760,   0.25332E+01,   0.15221E+04
   2, 0.27450,   0.26039E+01,   0.15552E+04
   2, 0.29140,   0.26745E+01,   0.15876E+04
   2, 0.30830,   0.27451E+01,   0.16194E+04
   2, 0.32520,   0.28157E+01,   0.16510E+04
   2, 0.34210,   0.28864E+01,   0.16828E+04
   2, 0.35900,   0.29570E+01,   0.17150E+04
   3, 0.00000,   0.13767E+01,   0.22904E+03
   3, 0.01970,   0.14591E+01,   0.24233E+03
   3, 0.03940,   0.15414E+01,   0.57318E+03
   3, 0.05910,   0.16237E+01,   0.83946E+03
   3, 0.07880,   0.17060E+01,   0.92081E+03
   3, 0.09850,   0.17883E+01,   0.99491E+03
   3, 0.11820,   0.18707E+01,   0.10625E+04
   3, 0.13790,   0.19530E+01,   0.11244E+04
   3, 0.15760,   0.20353E+01,   0.11812E+04
   3, 0.17730,   0.21176E+01,   0.12336E+04
   3, 0.19700,   0.22000E+01,   0.12822E+04
   3, 0.21670,   0.22823E+01,   0.13275E+04
   3, 0.23640,   0.23646E+01,   0.13701E+04
   3, 0.25610,   0.24469E+01,   0.14104E+04
   3, 0.27580,   0.25292E+01,   0.14489E+04
   3, 0.29550,   0.26116E+01,   0.14860E+04
