* Project:       SEQ_F1_S2
* File content:  soil physical parameters
* File name:     SoilPhysParam.csv
* Model version: Swap 4.0.1
* Generated at:  2022-01-03 17:15:32
layer,head(cm),theta(cm3.cm3),C(cm-1),RelSat(-),k(cm.d-1)
         1,  0.0000000E+00,  3.8000000E-01,  4.4721360E-11,  1.0000000E+00,  4.0800000E+01
         1, -1.0000000E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799999E+01
         1, -1.1000000E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799998E+01
         1, -1.2100000E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799998E+01
         1, -1.3310000E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799998E+01
         1, -1.4641000E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799998E+01
         1, -1.6105100E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799998E+01
         1, -1.7715610E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799997E+01
         1, -1.9487171E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799997E+01
         1, -2.1435888E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799997E+01
         1, -2.3579477E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799996E+01
         1, -2.5937425E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799996E+01
         1, -2.8531167E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799996E+01
         1, -3.1384284E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799995E+01
         1, -3.4522712E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799995E+01
         1, -3.7974983E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799994E+01
         1, -4.1772482E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799994E+01
         1, -4.5949730E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799993E+01
         1, -5.0544703E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799992E+01
         1, -5.5599173E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799992E+01
         1, -6.1159090E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799991E+01
         1, -6.7274999E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799990E+01
         1, -7.4002499E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799989E+01
         1, -8.1402749E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799988E+01
         1, -8.9543024E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799987E+01
         1, -9.8497327E-07,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799985E+01
         1, -1.0834706E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799984E+01
         1, -1.1918177E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799982E+01
         1, -1.3109994E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799980E+01
         1, -1.4420994E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799978E+01
         1, -1.5863093E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799976E+01
         1, -1.7449402E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799974E+01
         1, -1.9194342E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799971E+01
         1, -2.1113777E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799968E+01
         1, -2.3225154E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799965E+01
         1, -2.5547670E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799962E+01
         1, -2.8102437E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799958E+01
         1, -3.0912681E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799954E+01
         1, -3.4003949E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799949E+01
         1, -3.7404343E-06,  3.8000000E-01,  4.1781749E-04,  1.0000000E+00,  4.0799944E+01
         1, -4.1144778E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799938E+01
         1, -4.5259256E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799932E+01
         1, -4.9785181E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799926E+01
         1, -5.4763699E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799918E+01
         1, -6.0240069E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799910E+01
         1, -6.6264076E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799901E+01
         1, -7.2890484E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799891E+01
         1, -8.0179532E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799880E+01
         1, -8.8197485E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799868E+01
         1, -9.7017234E-06,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799855E+01
         1, -1.0671896E-05,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799840E+01
         1, -1.1739085E-05,  3.8000000E-01,  4.1781749E-04,  9.9999999E-01,  4.0799824E+01
         1, -1.2912994E-05,  3.7999999E-01,  4.1781749E-04,  9.9999998E-01,  4.0799807E+01
         1, -1.4204293E-05,  3.7999999E-01,  4.1781749E-04,  9.9999998E-01,  4.0799787E+01
         1, -1.5624723E-05,  3.7999999E-01,  4.1781749E-04,  9.9999998E-01,  4.0799766E+01
         1, -1.7187195E-05,  3.7999999E-01,  4.1781749E-04,  9.9999998E-01,  4.0799743E+01
         1, -1.8905914E-05,  3.7999999E-01,  4.1781749E-04,  9.9999998E-01,  4.0799717E+01
         1, -2.0796506E-05,  3.7999999E-01,  4.1781749E-04,  9.9999997E-01,  4.0799689E+01
         1, -2.2876156E-05,  3.7999999E-01,  4.1781749E-04,  9.9999997E-01,  4.0799658E+01
         1, -2.5163772E-05,  3.7999999E-01,  4.1781749E-04,  9.9999997E-01,  4.0799624E+01
         1, -2.7680149E-05,  3.7999999E-01,  4.1781749E-04,  9.9999997E-01,  4.0799586E+01
         1, -3.0448164E-05,  3.7999999E-01,  4.1781749E-04,  9.9999996E-01,  4.0799544E+01
         1, -3.3492980E-05,  3.7999999E-01,  4.1781749E-04,  9.9999996E-01,  4.0799499E+01
         1, -3.6842278E-05,  3.7999998E-01,  4.1781749E-04,  9.9999995E-01,  4.0799449E+01
         1, -4.0526506E-05,  3.7999998E-01,  4.1781749E-04,  9.9999995E-01,  4.0799394E+01
         1, -4.4579157E-05,  3.7999998E-01,  4.1781749E-04,  9.9999995E-01,  4.0799333E+01
         1, -4.9037073E-05,  3.7999998E-01,  4.1781749E-04,  9.9999994E-01,  4.0799266E+01
         1, -5.3940780E-05,  3.7999998E-01,  4.1781749E-04,  9.9999993E-01,  4.0799193E+01
         1, -5.9334858E-05,  3.7999998E-01,  4.1781749E-04,  9.9999993E-01,  4.0799112E+01
         1, -6.5268344E-05,  3.7999997E-01,  4.1781749E-04,  9.9999992E-01,  4.0799023E+01
         1, -7.1795178E-05,  3.7999997E-01,  4.1781749E-04,  9.9999991E-01,  4.0798926E+01
         1, -7.8974696E-05,  3.7999997E-01,  4.1781749E-04,  9.9999990E-01,  4.0798818E+01
         1, -8.6872165E-05,  3.7999996E-01,  4.1781749E-04,  9.9999989E-01,  4.0798700E+01
         1, -9.5559382E-05,  3.7999996E-01,  4.1781749E-04,  9.9999988E-01,  4.0798570E+01
         1, -1.0511532E-04,  3.7999996E-01,  4.1781749E-04,  9.9999987E-01,  4.0798427E+01
         1, -1.1562685E-04,  3.7999995E-01,  4.1781749E-04,  9.9999986E-01,  4.0798270E+01
         1, -1.2718954E-04,  3.7999995E-01,  4.1781749E-04,  9.9999984E-01,  4.0798097E+01
         1, -1.3990849E-04,  3.7999994E-01,  4.1781749E-04,  9.9999983E-01,  4.0797907E+01
         1, -1.5389934E-04,  3.7999994E-01,  4.1781749E-04,  9.9999981E-01,  4.0797697E+01
         1, -1.6928927E-04,  3.7999993E-01,  4.1781749E-04,  9.9999979E-01,  4.0797467E+01
         1, -1.8621820E-04,  3.7999992E-01,  4.1781749E-04,  9.9999977E-01,  4.0797214E+01
         1, -2.0484002E-04,  3.7999991E-01,  4.1781749E-04,  9.9999975E-01,  4.0796935E+01
         1, -2.2532402E-04,  3.7999991E-01,  4.1781749E-04,  9.9999972E-01,  4.0796629E+01
         1, -2.4785643E-04,  3.7999990E-01,  4.1781749E-04,  9.9999970E-01,  4.0796292E+01
         1, -2.7264207E-04,  3.7999989E-01,  4.1781749E-04,  9.9999966E-01,  4.0795921E+01
         1, -2.9990628E-04,  3.7999987E-01,  4.1781749E-04,  9.9999963E-01,  4.0795513E+01
         1, -3.2989690E-04,  3.7999986E-01,  4.1781749E-04,  9.9999959E-01,  4.0795064E+01
         1, -3.6288659E-04,  3.7999985E-01,  4.1781749E-04,  9.9999955E-01,  4.0794571E+01
         1, -3.9917525E-04,  3.7999983E-01,  4.1781749E-04,  9.9999951E-01,  4.0794028E+01
         1, -4.3909278E-04,  3.7999982E-01,  4.1781749E-04,  9.9999946E-01,  4.0793431E+01
         1, -4.8300206E-04,  3.7999980E-01,  4.1781749E-04,  9.9999941E-01,  4.0792774E+01
         1, -5.3130226E-04,  3.7999978E-01,  4.1781749E-04,  9.9999935E-01,  4.0792051E+01
         1, -5.8443249E-04,  3.7999976E-01,  4.1781749E-04,  9.9999928E-01,  4.0791256E+01
         1, -6.4287574E-04,  3.7999973E-01,  4.1781749E-04,  9.9999921E-01,  4.0790382E+01
         1, -7.0716331E-04,  3.7999970E-01,  4.1781749E-04,  9.9999913E-01,  4.0789420E+01
         1, -7.7787964E-04,  3.7999967E-01,  4.1781749E-04,  9.9999904E-01,  4.0788362E+01
         1, -8.5566760E-04,  3.7999964E-01,  4.1781749E-04,  9.9999895E-01,  4.0787198E+01
         1, -9.4123437E-04,  3.7999961E-01,  4.1781749E-04,  9.9999884E-01,  4.0785918E+01
         1, -1.0353578E-03,  3.7999957E-01,  4.1781749E-04,  9.9999873E-01,  4.0784509E+01
         1, -1.1388936E-03,  3.7999952E-01,  4.1781749E-04,  9.9999860E-01,  4.0782960E+01
         1, -1.2527829E-03,  3.7999948E-01,  4.1781749E-04,  9.9999846E-01,  4.0781256E+01
         1, -1.3780612E-03,  3.7999942E-01,  4.1781749E-04,  9.9999831E-01,  4.0779382E+01
         1, -1.5158674E-03,  3.7999937E-01,  4.1781749E-04,  9.9999814E-01,  4.0777320E+01
         1, -1.6674541E-03,  3.7999930E-01,  4.1781749E-04,  9.9999795E-01,  4.0775052E+01
         1, -1.8341995E-03,  3.7999923E-01,  4.1781749E-04,  9.9999775E-01,  4.0772558E+01
         1, -2.0176195E-03,  3.7999916E-01,  4.1781749E-04,  9.9999752E-01,  4.0769813E+01
         1, -2.2193814E-03,  3.7999907E-01,  4.1781749E-04,  9.9999727E-01,  4.0766795E+01
         1, -2.4413195E-03,  3.7999898E-01,  4.1781749E-04,  9.9999700E-01,  4.0763474E+01
         1, -2.6854515E-03,  3.7999888E-01,  4.1781749E-04,  9.9999670E-01,  4.0759822E+01
         1, -2.9539966E-03,  3.7999877E-01,  4.1781749E-04,  9.9999637E-01,  4.0755804E+01
         1, -3.2493963E-03,  3.7999864E-01,  4.1781749E-04,  9.9999601E-01,  4.0751384E+01
         1, -3.5743359E-03,  3.7999851E-01,  4.1781749E-04,  9.9999561E-01,  4.0746523E+01
         1, -3.9317695E-03,  3.7999836E-01,  4.1781749E-04,  9.9999517E-01,  4.0741175E+01
         1, -4.3249465E-03,  3.7999819E-01,  4.1781749E-04,  9.9999469E-01,  4.0735292E+01
         1, -4.7574411E-03,  3.7999801E-01,  4.1781749E-04,  9.9999415E-01,  4.0728821E+01
         1, -5.2331852E-03,  3.7999781E-01,  4.1781749E-04,  9.9999357E-01,  4.0721704E+01
         1, -5.7565038E-03,  3.7999759E-01,  4.1781749E-04,  9.9999293E-01,  4.0713874E+01
         1, -6.3321541E-03,  3.7999735E-01,  4.1781749E-04,  9.9999222E-01,  4.0705261E+01
         1, -6.9653696E-03,  3.7999709E-01,  4.1781749E-04,  9.9999144E-01,  4.0695788E+01
