"","year","doy","das","fdr10cm","fdr20cm","fdr30cm","fdr60cm","date","treat"
"1",2014,100,604,0.346318613,0.344265505,0.38356215,0.42095777,"4/10/2014","WithoutStraw"
"2",2014,101,605,0.331919298,0.330043666,0.369004856,0.405051291,"4/11/2014","WithoutStraw"
"3",2014,106,610,0.340145146,0.338811653,0.376497201,0.417213571,"4/16/2014","WithoutStraw"
"4",2014,111,615,0.317063959,0.32062465,0.357855132,0.396192281,"4/21/2014","WithoutStraw"
"5",2014,113,617,0.331710923,0.329519902,0.366184995,0.401144425,"4/23/2014","WithoutStraw"
"6",2014,115,619,0.331922509,0.329329403,0.364869439,0.400286426,"4/25/2014","WithoutStraw"
"7",2014,118,622,0.333552868,0.331530204,0.363175359,0.399267818,"4/28/2014","WithoutStraw"
"8",2014,120,624,0.323709559,0.323336812,0.358034525,0.392729654,"4/30/2014","WithoutStraw"
"9",2014,121,625,0.317883491,0.318455567,0.354145405,0.391314802,"5/1/2014","WithoutStraw"
"10",2014,125,629,0.301703922,0.306059762,0.340503645,0.382786036,"5/5/2014","WithoutStraw"
"11",2014,127,631,0.290162284,0.295683008,0.332934679,0.380899808,"5/7/2014","WithoutStraw"
"12",2014,128,632,0.301522381,0.299445358,0.335097688,0.381538711,"5/8/2014","WithoutStraw"
"13",2014,129,633,0.313418428,0.302513975,0.334572827,0.381681314,"5/9/2014","WithoutStraw"
"14",2014,132,636,0.294458164,0.29409588,0.328151613,0.371632491,"5/12/2014","WithoutStraw"
"15",2014,134,638,0.283381321,0.287740159,0.322804759,0.370002154,"5/14/2014","WithoutStraw"
"16",2014,135,639,0.283121209,0.287011993,0.320107283,0.366608236,"5/15/2014","WithoutStraw"
"17",2014,136,640,0.278232497,0.283446624,0.316783117,0.365034816,"5/16/2014","WithoutStraw"
"18",2014,139,643,0.273436339,0.276505179,0.311942056,0.360763913,"5/19/2014","WithoutStraw"
"19",2014,15,519,0.330884556,0.328081131,0.363055342,0.403448268,"1/15/2014","WithoutStraw"
"20",2014,20,524,0.309440213,0.31563703,0.357111038,0.401401827,"1/20/2014","WithoutStraw"
"21",2014,217,721,0.258615289,0.269936996,0.305325937,0.350459558,"8/5/2014","WithoutStraw"
"22",2014,220,724,0.251854804,0.269207716,0.305204474,0.349925704,"8/8/2014","WithoutStraw"
"23",2014,223,727,0.244170975,0.264606966,0.303613261,0.349430152,"8/11/2014","WithoutStraw"
"24",2014,227,731,0.24286257,0.260504385,0.300673132,0.348226132,"8/15/2014","WithoutStraw"
"25",2014,230,734,0.24462981,0.261627563,0.302138202,0.349868235,"8/18/2014","WithoutStraw"
"26",2014,231,735,0.242104271,0.261019592,0.301773102,0.348513507,"8/19/2014","WithoutStraw"
"27",2014,234,738,0.237273208,0.258933972,0.300316337,0.349409689,"8/22/2014","WithoutStraw"
"28",2014,241,745,0.226659512,0.251712266,0.2936911,0.346438549,"8/29/2014","WithoutStraw"
"29",2014,244,748,0.24721082,0.249986528,0.295949797,0.347409265,"9/1/2014","WithoutStraw"
"30",2014,246,750,0.320944472,0.301070461,0.313467861,0.348615034,"9/3/2014","WithoutStraw"
"31",2014,252,756,0.284125719,0.289776247,0.316516513,0.349378193,"9/9/2014","WithoutStraw"
"32",2014,255,759,0.266849715,0.284310296,0.315497092,0.347225341,"9/12/2014","WithoutStraw"
"33",2014,258,762,0.253060427,0.276263663,0.309937068,0.346525916,"9/15/2014","WithoutStraw"
"34",2014,262,766,0.238260884,0.267199736,0.304171392,0.345757765,"9/19/2014","WithoutStraw"
"35",2014,265,769,0.264941648,0.266187427,0.301539684,0.345726337,"9/22/2014","WithoutStraw"
"36",2014,269,773,0.326086465,0.317824714,0.328244672,0.348613937,"9/26/2014","WithoutStraw"
"37",2014,275,779,0.307667213,0.313494034,0.350355919,0.379200587,"10/2/2014","WithoutStraw"
"38",2014,28,532,0.257140471,0.266298672,0.307740661,0.368473652,"1/28/2014","WithoutStraw"
"39",2014,280,784,0.286083841,0.30145218,0.337016829,0.372529609,"10/7/2014","WithoutStraw"
"40",2014,283,787,0.273524664,0.293553976,0.333516746,0.366006823,"10/10/2014","WithoutStraw"
"41",2014,288,792,0.244639057,0.273039597,0.310087359,0.348946615,"10/15/2014","WithoutStraw"
"42",2014,290,794,0.239350576,0.264195531,0.305694411,0.348659091,"10/17/2014","WithoutStraw"
"43",2014,294,798,0.229443831,0.249680309,0.293733927,0.340884907,"10/21/2014","WithoutStraw"
"44",2014,297,801,0.230682973,0.251567009,0.295370063,0.336938485,"10/24/2014","WithoutStraw"
"45",2014,304,808,0.234700235,0.248065118,0.285921669,0.329593185,"10/31/2014","WithoutStraw"
"46",2014,307,811,0.324423947,0.320006891,0.349575686,0.364403829,"11/3/2014","WithoutStraw"
"47",2014,309,813,0.33692839,0.337405905,0.369996251,0.400603404,"11/5/2014","WithoutStraw"
"48",2014,311,815,0.318834146,0.322579506,0.355937165,0.38936644,"11/7/2014","WithoutStraw"
"49",2014,317,821,0.320413119,0.317546684,0.348951026,0.380436883,"11/13/2014","WithoutStraw"
"50",2014,318,822,0.320997139,0.317459757,0.348907388,0.38116133,"11/14/2014","WithoutStraw"
"51",2014,321,825,0.2993044,0.302028752,0.335726198,0.368785638,"11/17/2014","WithoutStraw"
"52",2014,323,827,0.280155951,0.28574289,0.322813174,0.358542969,"11/19/2014","WithoutStraw"
"53",2014,324,828,0.276992437,0.288034746,0.326626186,0.360524913,"11/20/2014","WithoutStraw"
"54",2014,328,832,0.257791305,0.267797334,0.306242307,0.349897772,"11/24/2014","WithoutStraw"
"55",2014,331,835,0.338194913,0.335111313,0.366903961,0.399229746,"11/27/2014","WithoutStraw"
"56",2014,332,836,0.330527076,0.336288493,0.364731909,0.398183671,"11/28/2014","WithoutStraw"
"57",2014,335,839,0.30369472,0.311206899,0.34365229,0.383112743,"12/1/2014","WithoutStraw"
"58",2014,337,841,0.31143895,0.31423357,0.343416852,0.381787705,"12/3/2014","WithoutStraw"
"59",2014,339,843,0.289076194,0.300036766,0.33541618,0.374581486,"12/5/2014","WithoutStraw"
"60",2014,342,846,0.27297543,0.283025869,0.31669269,0.364148046,"12/8/2014","WithoutStraw"
"61",2014,345,849,0.328210711,0.324420455,0.34824063,0.386063024,"12/11/2014","WithoutStraw"
"62",2014,348,852,0.33609366,0.332444621,0.366361353,0.403773592,"12/14/2014","WithoutStraw"
"63",2014,356,860,0.327606087,0.326536546,0.359298152,0.395988613,"12/22/2014","WithoutStraw"
"64",2014,362,866,0.298993595,0.306381596,0.339912807,0.389241457,"12/28/2014","WithoutStraw"
"65",2014,39,543,0.244488288,0.253195228,0.291725113,0.340177338,"2/8/2014","WithoutStraw"
"66",2014,40,544,0.241226072,0.25136198,0.289667936,0.337654979,"2/9/2014","WithoutStraw"
