* Project:       SWAP-SAMUCA_PIRA
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 3.2.36
* Generated at:  18-Dec-2017 15:54:42
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.00000,   0.14E+01,   0.66E+03
   1, 0.01910,   0.15E+01,   0.68E+03
   1, 0.03820,   0.15E+01,   0.95E+03
   1, 0.05730,   0.16E+01,   0.11E+04
   1, 0.07640,   0.17E+01,   0.12E+04
   1, 0.09550,   0.18E+01,   0.12E+04
   1, 0.11460,   0.19E+01,   0.12E+04
   1, 0.13370,   0.19E+01,   0.12E+04
   1, 0.15280,   0.20E+01,   0.13E+04
   1, 0.17190,   0.21E+01,   0.13E+04
   1, 0.19100,   0.22E+01,   0.13E+04
   1, 0.21010,   0.23E+01,   0.14E+04
   1, 0.22920,   0.23E+01,   0.14E+04
   1, 0.24830,   0.24E+01,   0.14E+04
   1, 0.26740,   0.25E+01,   0.14E+04
   1, 0.28650,   0.26E+01,   0.15E+04
   1, 0.30560,   0.27E+01,   0.15E+04
   1, 0.32470,   0.27E+01,   0.15E+04
   1, 0.34380,   0.28E+01,   0.16E+04
   1, 0.36290,   0.29E+01,   0.16E+04
   1, 0.38200,   0.30E+01,   0.17E+04
   2, 0.00000,   0.13E+01,   0.62E+03
   2, 0.02010,   0.14E+01,   0.64E+03
   2, 0.04020,   0.15E+01,   0.93E+03
   2, 0.06030,   0.16E+01,   0.11E+04
   2, 0.08040,   0.17E+01,   0.11E+04
   2, 0.10050,   0.18E+01,   0.11E+04
   2, 0.12060,   0.18E+01,   0.12E+04
   2, 0.14070,   0.19E+01,   0.12E+04
   2, 0.16080,   0.20E+01,   0.12E+04
   2, 0.18090,   0.21E+01,   0.12E+04
   2, 0.20100,   0.22E+01,   0.13E+04
   2, 0.22110,   0.23E+01,   0.13E+04
   2, 0.24120,   0.24E+01,   0.13E+04
   2, 0.26130,   0.24E+01,   0.14E+04
   2, 0.28140,   0.25E+01,   0.14E+04
   2, 0.30150,   0.26E+01,   0.14E+04
   2, 0.32160,   0.27E+01,   0.15E+04
   2, 0.34170,   0.28E+01,   0.15E+04
   2, 0.36180,   0.29E+01,   0.15E+04
   2, 0.38190,   0.29E+01,   0.16E+04
   2, 0.40200,   0.30E+01,   0.16E+04
