* Project:       SEQ_F1_S1
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 3.2.36
* Generated at:  20-Sep-2019 15:26:36
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.12210,   0.18E+01,   0.12E+04
   1, 0.13703,   0.19E+01,   0.12E+04
   1, 0.15196,   0.20E+01,   0.12E+04
   1, 0.16689,   0.20E+01,   0.12E+04
   1, 0.18182,   0.21E+01,   0.13E+04
   1, 0.19675,   0.21E+01,   0.13E+04
   1, 0.21168,   0.22E+01,   0.13E+04
   1, 0.22661,   0.23E+01,   0.13E+04
   1, 0.24154,   0.23E+01,   0.13E+04
   1, 0.25647,   0.24E+01,   0.14E+04
   1, 0.27140,   0.25E+01,   0.14E+04
   1, 0.28633,   0.25E+01,   0.14E+04
   1, 0.30126,   0.26E+01,   0.14E+04
   1, 0.31619,   0.26E+01,   0.15E+04
   1, 0.33112,   0.27E+01,   0.15E+04
   1, 0.34605,   0.28E+01,   0.15E+04
   1, 0.36098,   0.28E+01,   0.15E+04
   1, 0.37591,   0.29E+01,   0.16E+04
   1, 0.39084,   0.29E+01,   0.16E+04
   1, 0.40577,   0.30E+01,   0.16E+04
   1, 0.42070,   0.31E+01,   0.16E+04
   2, 0.02136,   0.15E+01,   0.14E+04
   2, 0.03825,   0.16E+01,   0.13E+04
   2, 0.05514,   0.17E+01,   0.13E+04
   2, 0.07204,   0.18E+01,   0.13E+04
   2, 0.08893,   0.18E+01,   0.13E+04
   2, 0.10582,   0.19E+01,   0.14E+04
   2, 0.12271,   0.20E+01,   0.14E+04
   2, 0.13960,   0.20E+01,   0.14E+04
   2, 0.15650,   0.21E+01,   0.14E+04
   2, 0.17339,   0.22E+01,   0.15E+04
   2, 0.19028,   0.23E+01,   0.15E+04
   2, 0.20717,   0.23E+01,   0.15E+04
   2, 0.22406,   0.24E+01,   0.16E+04
   2, 0.24096,   0.25E+01,   0.16E+04
   2, 0.25785,   0.25E+01,   0.16E+04
   2, 0.27474,   0.26E+01,   0.16E+04
   2, 0.29163,   0.27E+01,   0.17E+04
   2, 0.30852,   0.27E+01,   0.17E+04
   2, 0.32542,   0.28E+01,   0.17E+04
   2, 0.34231,   0.29E+01,   0.18E+04
   2, 0.35920,   0.30E+01,   0.18E+04
   3, 0.00000,   0.14E+01,   0.13E+04
   3, 0.01972,   0.15E+01,   0.13E+04
   3, 0.03943,   0.15E+01,   0.12E+04
   3, 0.05915,   0.16E+01,   0.12E+04
   3, 0.07886,   0.17E+01,   0.12E+04
   3, 0.09858,   0.18E+01,   0.13E+04
   3, 0.11829,   0.19E+01,   0.13E+04
   3, 0.13801,   0.20E+01,   0.13E+04
   3, 0.15772,   0.20E+01,   0.13E+04
   3, 0.17744,   0.21E+01,   0.14E+04
   3, 0.19715,   0.22E+01,   0.14E+04
   3, 0.21687,   0.23E+01,   0.14E+04
   3, 0.23658,   0.24E+01,   0.15E+04
   3, 0.25630,   0.24E+01,   0.15E+04
   3, 0.27601,   0.25E+01,   0.15E+04
   3, 0.29573,   0.26E+01,   0.16E+04
   3, 0.31544,   0.27E+01,   0.16E+04
   3, 0.33516,   0.28E+01,   0.16E+04
   3, 0.35487,   0.29E+01,   0.17E+04
   3, 0.37459,   0.29E+01,   0.17E+04
   3, 0.39430,   0.30E+01,   0.18E+04
   4, 0.00000,   0.13E+01,   0.11E+04
   4, 0.02149,   0.14E+01,   0.12E+04
   4, 0.04298,   0.15E+01,   0.11E+04
   4, 0.06447,   0.16E+01,   0.11E+04
   4, 0.08596,   0.17E+01,   0.11E+04
   4, 0.10745,   0.17E+01,   0.12E+04
   4, 0.12894,   0.18E+01,   0.12E+04
   4, 0.15043,   0.19E+01,   0.12E+04
   4, 0.17192,   0.20E+01,   0.12E+04
   4, 0.19341,   0.21E+01,   0.13E+04
   4, 0.21490,   0.22E+01,   0.13E+04
   4, 0.23639,   0.23E+01,   0.13E+04
   4, 0.25788,   0.24E+01,   0.14E+04
   4, 0.27937,   0.25E+01,   0.14E+04
   4, 0.30086,   0.26E+01,   0.14E+04
   4, 0.32235,   0.26E+01,   0.15E+04
   4, 0.34384,   0.27E+01,   0.15E+04
   4, 0.36533,   0.28E+01,   0.15E+04
   4, 0.38682,   0.29E+01,   0.16E+04
   4, 0.40831,   0.30E+01,   0.16E+04
   4, 0.42980,   0.31E+01,   0.17E+04
   5, 0.00833,   0.13E+01,   0.11E+04
   5, 0.03086,   0.14E+01,   0.11E+04
   5, 0.05339,   0.15E+01,   0.10E+04
   5, 0.07592,   0.15E+01,   0.10E+04
   5, 0.09844,   0.16E+01,   0.11E+04
   5, 0.12097,   0.17E+01,   0.11E+04
   5, 0.14350,   0.18E+01,   0.11E+04
   5, 0.16603,   0.19E+01,   0.11E+04
   5, 0.18856,   0.20E+01,   0.12E+04
   5, 0.21109,   0.21E+01,   0.12E+04
   5, 0.23362,   0.22E+01,   0.12E+04
   5, 0.25614,   0.23E+01,   0.13E+04
   5, 0.27867,   0.24E+01,   0.13E+04
   5, 0.30120,   0.25E+01,   0.13E+04
   5, 0.32373,   0.26E+01,   0.14E+04
   5, 0.34626,   0.27E+01,   0.14E+04
   5, 0.36879,   0.28E+01,   0.14E+04
   5, 0.39131,   0.29E+01,   0.15E+04
   5, 0.41384,   0.30E+01,   0.15E+04
   5, 0.43637,   0.31E+01,   0.15E+04
   5, 0.45890,   0.31E+01,   0.16E+04
