* Project:       SWAP-SAMUCA_PIRA
* File content:  soil physical parameters
* File name:     SoilPhysParam.csv
* Model version: Swap 3.2.36
* Generated at:  09-Aug-2019 19:17:42
layer,head(cm),theta(cm3.cm3),C(cm-1),RelSat(-),k(cm.d-1)
         1,  0.0000000E+00,  3.6000000E-01,  4.4721360E-11,  1.0000000E+00,  2.6240000E+01
         1, -1.0000000E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.1000000E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.2100000E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.3310000E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.4641000E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.6105100E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.7715610E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.9487171E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.1435888E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.3579477E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.5937425E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.8531167E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -3.1384284E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -3.4522712E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -3.7974983E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -4.1772482E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -4.5949730E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -5.0544703E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -5.5599173E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -6.1159090E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -6.7274999E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -7.4002499E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -8.1402749E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -8.9543024E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -9.8497327E-07,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.0834706E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.1918177E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.3109994E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.4420994E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.5863093E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.7449402E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -1.9194342E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.1113777E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.3225154E-06,  3.6000000E-01,  7.0461122E-04,  1.0000000E+00,  2.6240000E+01
         1, -2.5547670E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -2.8102437E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -3.0912681E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -3.4003949E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -3.7404343E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -4.1144778E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -4.5259256E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -4.9785181E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -5.4763699E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -6.0240069E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -6.6264076E-06,  3.6000000E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -7.2890484E-06,  3.5999999E-01,  7.0461122E-04,  9.9999999E-01,  2.6240000E+01
         1, -8.0179532E-06,  3.5999999E-01,  7.0461122E-04,  9.9999998E-01,  2.6240000E+01
         1, -8.8197485E-06,  3.5999999E-01,  7.0461122E-04,  9.9999998E-01,  2.6240000E+01
         1, -9.7017234E-06,  3.5999999E-01,  7.0461122E-04,  9.9999998E-01,  2.6240000E+01
         1, -1.0671896E-05,  3.5999999E-01,  7.0461122E-04,  9.9999998E-01,  2.6240000E+01
         1, -1.1739085E-05,  3.5999999E-01,  7.0461122E-04,  9.9999998E-01,  2.6240000E+01
         1, -1.2912994E-05,  3.5999999E-01,  7.0461122E-04,  9.9999997E-01,  2.6240000E+01
         1, -1.4204293E-05,  3.5999999E-01,  7.0461122E-04,  9.9999997E-01,  2.6240000E+01
         1, -1.5624723E-05,  3.5999999E-01,  7.0461122E-04,  9.9999997E-01,  2.6240000E+01
         1, -1.7187195E-05,  3.5999999E-01,  7.0461122E-04,  9.9999997E-01,  2.6240000E+01
         1, -1.8905914E-05,  3.5999999E-01,  7.0461122E-04,  9.9999996E-01,  2.6240000E+01
         1, -2.0796506E-05,  3.5999999E-01,  7.0461122E-04,  9.9999996E-01,  2.6240000E+01
         1, -2.2876156E-05,  3.5999998E-01,  7.0461122E-04,  9.9999996E-01,  2.6240000E+01
         1, -2.5163772E-05,  3.5999998E-01,  7.0461122E-04,  9.9999995E-01,  2.6240000E+01
         1, -2.7680149E-05,  3.5999998E-01,  7.0461122E-04,  9.9999995E-01,  2.6240000E+01
         1, -3.0448164E-05,  3.5999998E-01,  7.0461122E-04,  9.9999994E-01,  2.6240000E+01
         1, -3.3492980E-05,  3.5999998E-01,  7.0461122E-04,  9.9999993E-01,  2.6240000E+01
         1, -3.6842278E-05,  3.5999997E-01,  7.0461122E-04,  9.9999993E-01,  2.6240000E+01
         1, -4.0526506E-05,  3.5999997E-01,  7.0461122E-04,  9.9999992E-01,  2.6240000E+01
         1, -4.4579157E-05,  3.5999997E-01,  7.0461122E-04,  9.9999991E-01,  2.6240000E+01
         1, -4.9037073E-05,  3.5999997E-01,  7.0461122E-04,  9.9999990E-01,  2.6240000E+01
         1, -5.3940780E-05,  3.5999996E-01,  7.0461122E-04,  9.9999989E-01,  2.6240000E+01
         1, -5.9334858E-05,  3.5999996E-01,  7.0461122E-04,  9.9999988E-01,  2.6240000E+01
         1, -6.5268344E-05,  3.5999995E-01,  7.0461122E-04,  9.9999987E-01,  2.6240000E+01
         1, -7.1795178E-05,  3.5999995E-01,  7.0461122E-04,  9.9999986E-01,  2.6240000E+01
         1, -7.8974696E-05,  3.5999994E-01,  7.0461122E-04,  9.9999984E-01,  2.6240000E+01
         1, -8.6872165E-05,  3.5999994E-01,  7.0461122E-04,  9.9999983E-01,  2.6240000E+01
         1, -9.5559382E-05,  3.5999993E-01,  7.0461122E-04,  9.9999981E-01,  2.6240000E+01
         1, -1.0511532E-04,  3.5999993E-01,  7.0461122E-04,  9.9999979E-01,  2.6240000E+01
         1, -1.1562685E-04,  3.5999992E-01,  7.0461122E-04,  9.9999977E-01,  2.6240000E+01
         1, -1.2718954E-04,  3.5999991E-01,  7.0461122E-04,  9.9999975E-01,  2.6240000E+01
         1, -1.3990849E-04,  3.5999990E-01,  7.0461122E-04,  9.9999973E-01,  2.6240000E+01
         1, -1.5389934E-04,  3.5999989E-01,  7.0461122E-04,  9.9999970E-01,  2.6240000E+01
         1, -1.6928927E-04,  3.5999988E-01,  7.0461122E-04,  9.9999967E-01,  2.6240000E+01
         1, -1.8621820E-04,  3.5999987E-01,  7.0461122E-04,  9.9999963E-01,  2.6240000E+01
         1, -2.0484002E-04,  3.5999986E-01,  7.0461122E-04,  9.9999960E-01,  2.6240000E+01
         1, -2.2532402E-04,  3.5999984E-01,  7.0461122E-04,  9.9999956E-01,  2.6240000E+01
         1, -2.4785643E-04,  3.5999983E-01,  7.0461122E-04,  9.9999951E-01,  2.6240000E+01
         1, -2.7264207E-04,  3.5999981E-01,  7.0461122E-04,  9.9999946E-01,  2.6240000E+01
         1, -2.9990628E-04,  3.5999979E-01,  7.0461122E-04,  9.9999941E-01,  2.6240000E+01
         1, -3.2989690E-04,  3.5999977E-01,  7.0461122E-04,  9.9999935E-01,  2.6240000E+01
         1, -3.6288659E-04,  3.5999974E-01,  7.0461122E-04,  9.9999929E-01,  2.6240000E+01
